name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
OF1	SEEG	V	n/a	n/a	OF	500	depth	n/a
OF2	SEEG	V	n/a	n/a	OF	500	depth	n/a
OF3	SEEG	V	n/a	n/a	OF	500	depth	n/a
OF4	SEEG	V	n/a	n/a	OF	500	depth	n/a
OF5	SEEG	V	n/a	n/a	OF	500	depth	n/a
OF6	SEEG	V	n/a	n/a	OF	500	depth	n/a
OF7	SEEG	V	n/a	n/a	OF	500	depth	n/a
OF8	SEEG	V	n/a	n/a	OF	500	depth	n/a
OF9	SEEG	V	n/a	n/a	OF	500	depth	n/a
OF10	SEEG	V	n/a	n/a	OF	500	depth	n/a
OF11	SEEG	V	n/a	n/a	OF	500	depth	n/a
OF12	SEEG	V	n/a	n/a	OF	500	depth	n/a
OF13	SEEG	V	n/a	n/a	OF	500	depth	n/a
OF14	SEEG	V	n/a	n/a	OF	500	depth	n/a
OF15	SEEG	V	n/a	n/a	OF	500	depth	n/a
OF16	SEEG	V	n/a	n/a	OF	500	depth	n/a
PT1	SEEG	V	n/a	n/a	PT	500	depth	n/a
PT2	SEEG	V	n/a	n/a	PT	500	depth	n/a
PT3	SEEG	V	n/a	n/a	PT	500	depth	n/a
PT4	SEEG	V	n/a	n/a	PT	500	depth	n/a
PT5	SEEG	V	n/a	n/a	PT	500	depth	n/a
PT6	SEEG	V	n/a	n/a	PT	500	depth	n/a
PT7	SEEG	V	n/a	n/a	PT	500	depth	n/a
PT8	SEEG	V	n/a	n/a	PT	500	depth	n/a
PT9	SEEG	V	n/a	n/a	PT	500	depth	n/a
PT10	SEEG	V	n/a	n/a	PT	500	depth	n/a
PO1	SEEG	V	n/a	n/a	PO	500	depth	n/a
PO2	SEEG	V	n/a	n/a	PO	500	depth	n/a
PO3	SEEG	V	n/a	n/a	PO	500	depth	n/a
PO4	SEEG	V	n/a	n/a	PO	500	depth	n/a
PO5	SEEG	V	n/a	n/a	PO	500	depth	n/a
PO6	SEEG	V	n/a	n/a	PO	500	depth	n/a
PO7	SEEG	V	n/a	n/a	PO	500	depth	n/a
PO8	SEEG	V	n/a	n/a	PO	500	depth	n/a
C1	SEEG	V	n/a	n/a	C	500	depth	n/a
C2	SEEG	V	n/a	n/a	C	500	depth	n/a
C3	SEEG	V	n/a	n/a	C	500	depth	n/a
C4	SEEG	V	n/a	n/a	C	500	depth	n/a
C5	SEEG	V	n/a	n/a	C	500	depth	n/a
C6	SEEG	V	n/a	n/a	C	500	depth	n/a
C7	SEEG	V	n/a	n/a	C	500	depth	n/a
C8	SEEG	V	n/a	n/a	C	500	depth	n/a
MI1	SEEG	V	n/a	n/a	MI	500	depth	n/a
MI2	SEEG	V	n/a	n/a	MI	500	depth	n/a
MI3	SEEG	V	n/a	n/a	MI	500	depth	n/a
MI4	SEEG	V	n/a	n/a	MI	500	depth	n/a
MI5	SEEG	V	n/a	n/a	MI	500	depth	n/a
MI6	SEEG	V	n/a	n/a	MI	500	depth	n/a
MI7	SEEG	V	n/a	n/a	MI	500	depth	n/a
MI8	SEEG	V	n/a	n/a	MI	500	depth	n/a
PI1	SEEG	V	n/a	n/a	PI	500	depth	n/a
PI2	SEEG	V	n/a	n/a	PI	500	depth	n/a
PI3	SEEG	V	n/a	n/a	PI	500	depth	n/a
PI4	SEEG	V	n/a	n/a	PI	500	depth	n/a
PI5	SEEG	V	n/a	n/a	PI	500	depth	n/a
PI6	SEEG	V	n/a	n/a	PI	500	depth	n/a
PI7	SEEG	V	n/a	n/a	PI	500	depth	n/a
PI8	SEEG	V	n/a	n/a	PI	500	depth	n/a
PST1	SEEG	V	n/a	n/a	PST	500	depth	n/a
PST2	SEEG	V	n/a	n/a	PST	500	depth	n/a
PST3	SEEG	V	n/a	n/a	PST	500	depth	n/a
PST4	SEEG	V	n/a	n/a	PST	500	depth	n/a
PST5	SEEG	V	n/a	n/a	PST	500	depth	n/a
PST6	SEEG	V	n/a	n/a	PST	500	depth	n/a
PST7	SEEG	V	n/a	n/a	PST	500	depth	n/a
PST8	SEEG	V	n/a	n/a	PST	500	depth	n/a
PST9	SEEG	V	n/a	n/a	PST	500	depth	n/a
PST10	SEEG	V	n/a	n/a	PST	500	depth	n/a
SM1	SEEG	V	n/a	n/a	SM	500	depth	n/a
SM2	SEEG	V	n/a	n/a	SM	500	depth	n/a
SM3	SEEG	V	n/a	n/a	SM	500	depth	n/a
SM4	SEEG	V	n/a	n/a	SM	500	depth	n/a
SM5	SEEG	V	n/a	n/a	SM	500	depth	n/a
SM6	SEEG	V	n/a	n/a	SM	500	depth	n/a
SM7	SEEG	V	n/a	n/a	SM	500	depth	n/a
SM8	SEEG	V	n/a	n/a	SM	500	depth	n/a
SM9	SEEG	V	n/a	n/a	SM	500	depth	n/a
SM10	SEEG	V	n/a	n/a	SM	500	depth	n/a
A1	SEEG	V	n/a	n/a	A	500	depth	n/a
A2	SEEG	V	n/a	n/a	A	500	depth	n/a
A3	SEEG	V	n/a	n/a	A	500	depth	n/a
A4	SEEG	V	n/a	n/a	A	500	depth	n/a
A5	SEEG	V	n/a	n/a	A	500	depth	n/a
A6	SEEG	V	n/a	n/a	A	500	depth	n/a
A7	SEEG	V	n/a	n/a	A	500	depth	n/a
A8	SEEG	V	n/a	n/a	A	500	depth	n/a
A9	SEEG	V	n/a	n/a	A	500	depth	n/a
A10	SEEG	V	n/a	n/a	A	500	depth	n/a
