name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch
OF1-OF2	SEEG	V	n/a	n/a	bipolar	OF	500	depth	n/a
OF2-OF3	SEEG	V	n/a	n/a	bipolar	OF	500	depth	n/a
OF3-OF4	SEEG	V	n/a	n/a	bipolar	OF	500	depth	n/a
OF4-OF5	SEEG	V	n/a	n/a	bipolar	OF	500	depth	n/a
OF5-OF6	SEEG	V	n/a	n/a	bipolar	OF	500	depth	n/a
OF6-OF7	SEEG	V	n/a	n/a	bipolar	OF	500	depth	n/a
OF7-OF8	SEEG	V	n/a	n/a	bipolar	OF	500	depth	n/a
OF8-OF9	SEEG	V	n/a	n/a	bipolar	OF	500	depth	n/a
OF9-OF10	SEEG	V	n/a	n/a	bipolar	OF	500	depth	n/a
OF10-OF11	SEEG	V	n/a	n/a	bipolar	OF	500	depth	n/a
OF11-OF12	SEEG	V	n/a	n/a	bipolar	OF	500	depth	n/a
OF12-OF13	SEEG	V	n/a	n/a	bipolar	OF	500	depth	n/a
OF13-OF14	SEEG	V	n/a	n/a	bipolar	OF	500	depth	n/a
OF14-OF15	SEEG	V	n/a	n/a	bipolar	OF	500	depth	n/a
OF15-OF16	SEEG	V	n/a	n/a	bipolar	OF	500	depth	n/a
PT1-PT2	SEEG	V	n/a	n/a	bipolar	PT	500	depth	n/a
PT2-PT3	SEEG	V	n/a	n/a	bipolar	PT	500	depth	n/a
PT3-PT4	SEEG	V	n/a	n/a	bipolar	PT	500	depth	n/a
PT4-PT5	SEEG	V	n/a	n/a	bipolar	PT	500	depth	n/a
PT5-PT6	SEEG	V	n/a	n/a	bipolar	PT	500	depth	n/a
PT6-PT7	SEEG	V	n/a	n/a	bipolar	PT	500	depth	n/a
PT7-PT8	SEEG	V	n/a	n/a	bipolar	PT	500	depth	n/a
PT8-PT9	SEEG	V	n/a	n/a	bipolar	PT	500	depth	n/a
PT9-PT10	SEEG	V	n/a	n/a	bipolar	PT	500	depth	n/a
PO1-PO2	SEEG	V	n/a	n/a	bipolar	PO	500	depth	n/a
PO2-PO3	SEEG	V	n/a	n/a	bipolar	PO	500	depth	n/a
PO3-PO4	SEEG	V	n/a	n/a	bipolar	PO	500	depth	n/a
PO4-PO5	SEEG	V	n/a	n/a	bipolar	PO	500	depth	n/a
PO5-PO6	SEEG	V	n/a	n/a	bipolar	PO	500	depth	n/a
PO6-PO7	SEEG	V	n/a	n/a	bipolar	PO	500	depth	n/a
PO7-PO8	SEEG	V	n/a	n/a	bipolar	PO	500	depth	n/a
C1-C2	SEEG	V	n/a	n/a	bipolar	C	500	depth	n/a
C2-C3	SEEG	V	n/a	n/a	bipolar	C	500	depth	n/a
C3-C4	SEEG	V	n/a	n/a	bipolar	C	500	depth	n/a
C4-C5	SEEG	V	n/a	n/a	bipolar	C	500	depth	n/a
C5-C6	SEEG	V	n/a	n/a	bipolar	C	500	depth	n/a
C6-C7	SEEG	V	n/a	n/a	bipolar	C	500	depth	n/a
C7-C8	SEEG	V	n/a	n/a	bipolar	C	500	depth	n/a
