name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch
DRHD1-DRHD2	SEEG	V	n/a	n/a	bipolar	DRHD	256	depth	n/a
ERHD1-ERHD2	SEEG	V	n/a	n/a	bipolar	ERHD	256	depth	n/a
DRHD2-DRHD3	SEEG	V	n/a	n/a	bipolar	DRHD	256	depth	n/a
ERHD2-ERHD3	SEEG	V	n/a	n/a	bipolar	ERHD	256	depth	n/a
DRHD3-DRHD4	SEEG	V	n/a	n/a	bipolar	DRHD	256	depth	n/a
ERHD3-ERHD4	SEEG	V	n/a	n/a	bipolar	ERHD	256	depth	n/a
DRHD4-DRHD5	SEEG	V	n/a	n/a	bipolar	DRHD	256	depth	n/a
ERHD4-ERHD5	SEEG	V	n/a	n/a	bipolar	ERHD	256	depth	n/a
DRHD5-DRHD6	SEEG	V	n/a	n/a	bipolar	DRHD	256	depth	n/a
ERHD5-ERHD6	SEEG	V	n/a	n/a	bipolar	ERHD	256	depth	n/a
DRHD6-DRHD7	SEEG	V	n/a	n/a	bipolar	DRHD	256	depth	n/a
ERHD6-ERHD7	SEEG	V	n/a	n/a	bipolar	ERHD	256	depth	n/a
DRHD7-DRHD8	SEEG	V	n/a	n/a	bipolar	DRHD	256	depth	n/a
ERHD7-ERHD8	SEEG	V	n/a	n/a	bipolar	ERHD	256	depth	n/a
DRHD8-DRHD9	SEEG	V	n/a	n/a	bipolar	DRHD	256	depth	n/a
ERHD8-ERHD9	SEEG	V	n/a	n/a	bipolar	ERHD	256	depth	n/a
DRHD9-DRHD10	SEEG	V	n/a	n/a	bipolar	DRHD	256	depth	n/a
ERHD9-ERHD10	SEEG	V	n/a	n/a	bipolar	ERHD	256	depth	n/a
