name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
RF1	ECOG	V	n/a	n/a	RF	500	strip	n/a
RF2	ECOG	V	n/a	n/a	RF	500	strip	n/a
RF3	ECOG	V	n/a	n/a	RF	500	strip	n/a
RF4	ECOG	V	n/a	n/a	RF	500	strip	n/a
RF5	ECOG	V	n/a	n/a	RF	500	strip	n/a
RF6	ECOG	V	n/a	n/a	RF	500	strip	n/a
RF7	ECOG	V	n/a	n/a	RF	500	strip	n/a
RF8	ECOG	V	n/a	n/a	RF	500	strip	n/a
ROF1	ECOG	V	n/a	n/a	ROF	500	strip	n/a
ROF2	ECOG	V	n/a	n/a	ROF	500	strip	n/a
ROF3	ECOG	V	n/a	n/a	ROF	500	strip	n/a
ROF4	ECOG	V	n/a	n/a	ROF	500	strip	n/a
ROF5	ECOG	V	n/a	n/a	ROF	500	strip	n/a
ROF6	ECOG	V	n/a	n/a	ROF	500	strip	n/a
ROF7	ECOG	V	n/a	n/a	ROF	500	strip	n/a
ROF8	ECOG	V	n/a	n/a	ROF	500	strip	n/a
RPF1	ECOG	V	n/a	n/a	RPF	500	strip	n/a
RPF2	ECOG	V	n/a	n/a	RPF	500	strip	n/a
RPF3	ECOG	V	n/a	n/a	RPF	500	strip	n/a
RPF4	ECOG	V	n/a	n/a	RPF	500	strip	n/a
RO1	ECOG	V	n/a	n/a	RO	500	strip	n/a
RO2	ECOG	V	n/a	n/a	RO	500	strip	n/a
RO3	ECOG	V	n/a	n/a	RO	500	strip	n/a
RO4	ECOG	V	n/a	n/a	RO	500	strip	n/a
RO5	ECOG	V	n/a	n/a	RO	500	strip	n/a
RO6	ECOG	V	n/a	n/a	RO	500	strip	n/a
RO7	ECOG	V	n/a	n/a	RO	500	strip	n/a
RO8	ECOG	V	n/a	n/a	RO	500	strip	n/a
RTP1	ECOG	V	n/a	n/a	RTP	500	strip	n/a
RTP2	ECOG	V	n/a	n/a	RTP	500	strip	n/a
RTP3	ECOG	V	n/a	n/a	RTP	500	strip	n/a
RTP4	ECOG	V	n/a	n/a	RTP	500	strip	n/a
RTP5	ECOG	V	n/a	n/a	RTP	500	strip	n/a
RTP6	ECOG	V	n/a	n/a	RTP	500	strip	n/a
RTP7	ECOG	V	n/a	n/a	RTP	500	strip	n/a
RTP8	ECOG	V	n/a	n/a	RTP	500	strip	n/a
LFV1	ECOG	V	n/a	n/a	LFV	500	strip	n/a
LFV2	ECOG	V	n/a	n/a	LFV	500	strip	n/a
LFV3	ECOG	V	n/a	n/a	LFV	500	strip	n/a
LFV4	ECOG	V	n/a	n/a	LFV	500	strip	n/a
LFV5	ECOG	V	n/a	n/a	LFV	500	strip	n/a
LFV6	ECOG	V	n/a	n/a	LFV	500	strip	n/a
LFV7	ECOG	V	n/a	n/a	LFV	500	strip	n/a
LFV8	ECOG	V	n/a	n/a	LFV	500	strip	n/a
LF1	ECOG	V	n/a	n/a	LF	500	strip	n/a
LF2	ECOG	V	n/a	n/a	LF	500	strip	n/a
LF3	ECOG	V	n/a	n/a	LF	500	strip	n/a
LF4	ECOG	V	n/a	n/a	LF	500	strip	n/a
LF5	ECOG	V	n/a	n/a	LF	500	strip	n/a
LF6	ECOG	V	n/a	n/a	LF	500	strip	n/a
LF7	ECOG	V	n/a	n/a	LF	500	strip	n/a
LF8	ECOG	V	n/a	n/a	LF	500	strip	n/a
LOF1	ECOG	V	n/a	n/a	LOF	500	strip	n/a
LOF2	ECOG	V	n/a	n/a	LOF	500	strip	n/a
LOF3	ECOG	V	n/a	n/a	LOF	500	strip	n/a
LOF4	ECOG	V	n/a	n/a	LOF	500	strip	n/a
LOF5	ECOG	V	n/a	n/a	LOF	500	strip	n/a
LOF6	ECOG	V	n/a	n/a	LOF	500	strip	n/a
LOF7	ECOG	V	n/a	n/a	LOF	500	strip	n/a
LOF8	ECOG	V	n/a	n/a	LOF	500	strip	n/a
LPF1	ECOG	V	n/a	n/a	LPF	500	strip	n/a
LPF2	ECOG	V	n/a	n/a	LPF	500	strip	n/a
LPF3	ECOG	V	n/a	n/a	LPF	500	strip	n/a
LPF4	ECOG	V	n/a	n/a	LPF	500	strip	n/a
LPFV1	ECOG	V	n/a	n/a	LPFV	500	strip	n/a
LPFV2	ECOG	V	n/a	n/a	LPFV	500	strip	n/a
LPFV3	ECOG	V	n/a	n/a	LPFV	500	strip	n/a
LPFV4	ECOG	V	n/a	n/a	LPFV	500	strip	n/a
