name	x	y	z	size	group	hemisphere	type	wb.region	ind.region	das.region	stein.region
G1	39.4347	-5.25127	-31.8665	-999	G	R	grid	n/a	inferiortemporal	n/a	n/a
G2	46.7232	-12.1093	-27.0331	-999	G	R	grid	n/a	inferiortemporal	n/a	n/a
G3	52.8255	-17.9649	-22.4639	-999	G	R	grid	n/a	inferiortemporal	n/a	n/a
G4	58.3447	-25.8473	-16.4931	-999	G	R	grid	n/a	middletemporal	n/a	n/a
G5	61.5031	-32.4897	-9.87309	-999	G	R	grid	n/a	inferiortemporal	n/a	n/a
G6	64.5158	-39.8235	-4.14374	-999	G	R	grid	n/a	inferiortemporal	n/a	n/a
G7	61.3534	-46.5812	3.27545	-999	G	R	grid	n/a	inferiortemporal	n/a	n/a
G8	58.4946	-53.4403	9.08145	-999	G	R	grid	n/a	middletemporal	n/a	n/a
G9	42.9658	2.57305	-26.1037	-999	G	R	grid	n/a	inferiortemporal	n/a	n/a
G10	49.5297	-3.47558	-21.4716	-999	G	R	grid	n/a	middletemporal	n/a	n/a
G11	54.984	-10.3235	-15.7131	-999	G	R	grid	n/a	middletemporal	n/a	n/a
G12	59.1183	-17.6238	-9.93212	-999	G	R	grid	n/a	middletemporal	n/a	n/a
G13	63.6616	-24.8482	-3.12226	-999	G	R	grid	n/a	middletemporal	n/a	n/a
G14	63.9167	-31.774	3.5773	-999	G	R	grid	n/a	middletemporal	n/a	n/a
G15	64.435	-39.2934	10.8411	-999	G	R	grid	n/a	middletemporal	n/a	n/a
G16	61.127	-46.7184	17.8646	-999	G	R	grid	n/a	middletemporal	n/a	n/a
G17	39.1394	14.0233	-29.6389	-999	G	R	grid	n/a	superiortemporal	n/a	n/a
G18	44.8854	8.56015	-22.0994	-999	G	R	grid	n/a	middletemporal	n/a	n/a
G19	50.7649	4.55394	-14.8474	-999	G	R	grid	n/a	middletemporal	n/a	n/a
G20	55.2435	-1.63404	-8.24985	-999	G	R	grid	n/a	middletemporal	n/a	n/a
G21	58.3493	-8.00533	-0.665214	-999	G	R	grid	n/a	superiortemporal	n/a	n/a
G22	60.5319	-13.9583	7.37228	-999	G	R	grid	n/a	superiortemporal	n/a	n/a
G23	61.2487	-21.0571	14.5559	-999	G	R	grid	n/a	superiortemporal	n/a	n/a
G24	61.6495	-27.2659	22.6484	-999	G	R	grid	n/a	superiortemporal	n/a	n/a
G25	36.7465	22.5696	-23.3082	-999	G	R	grid	n/a	superiortemporal	n/a	n/a
G26	42.9541	16.9124	-15.7054	-999	G	R	grid	n/a	superiortemporal	n/a	n/a
G27	47.7768	11.8374	-8.29288	-999	G	R	grid	n/a	superiortemporal	n/a	n/a
G28	52.8507	6.91213	-1.91956	-999	G	R	grid	n/a	superiortemporal	n/a	n/a
G29	57.2764	1.02256	6.18326	-999	G	R	grid	n/a	precentral	n/a	n/a
G30	59.0623	-5.76745	14.4814	-999	G	R	grid	n/a	postcentral	n/a	n/a
G31	58.8031	-12.2032	22.5862	-999	G	R	grid	n/a	postcentral	n/a	n/a
G32	57.9893	-19.4167	28.5862	-999	G	R	grid	n/a	supramarginal	n/a	n/a
